metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Fe,215.0,11.192476716214296,425.0,30.0,9.912049227224305,0.040883093885439654,0.09296892707212712,10.617449959446144,0.44117473581058336,0.0,-4.622535346457722
Fe,220.0,11.284773362867437,425.0,30.0,9.311969879034814,0.038408015345336964,0.09078315868145903,10.741388733524241,0.41419345531640134,0.0,-4.59541345872059
Fe,225.0,11.377409296657289,425.0,30.0,8.771735683177875,0.03617977324897187,0.08875678021491708,10.862542129481257,0.38993061371214194,0.0,-4.569457432903796
Fe,230.0,11.47007679007735,425.0,30.0,8.28311007640065,0.034164395187507454,0.08687173378612208,10.98103259664448,0.3680080644592401,0.0,-4.544565329052652
Fe,235.0,11.562535246019479,425.0,30.0,7.839291931006257,0.032333829328695454,0.08511272380685254,11.096974683125204,0.34811400975872825,0.0,-4.520648733843794
Fe,240.0,11.65459620956384,425.0,30.0,7.43461597525277,0.030664708775217053,0.08346669293857237,11.210475701312726,0.32998910653732433,0.0,-4.497630436763165
Fe,245.0,11.746112072560724,425.0,30.0,7.064325282123206,0.029137413175176957,0.08192241497442464,11.321636324745265,0.3134159196658573,0.0,-4.475442584646292
Fe,250.0,11.836967465384799,425.0,30.0,6.724396371413604,0.027735347340723103,0.08047017499526993,11.430551124677958,0.2982108183708477,0.0,-4.454025201334163
Fe,255.0,11.927072629816069,425.0,30.0,6.411403250190244,0.02644438047129657,0.0791015154961935,11.537309053514294,0.28421768033428546,0.0,-4.433324989234976
Fe,260.0,12.016358270172475,425.0,30.0,6.122410634423356,0.025252405737137083,0.07780903296512758,11.64199388129319,0.27130295017702005,0.0,-4.413294350880337
Fe,265.0,12.104771519509278,425.0,30.0,5.854889292797199,0.024148991107594962,0.07658621346040569,11.74468459059793,0.25935172434334924,0.0,-4.39389058382992
Fe,270.0,12.192272755469357,425.0,30.0,5.606648340825823,0.023125100092427086,0.0754272986347315,11.845455734550917,0.24826462219128304,0.0,-4.37507521341671
Fe,275.0,12.278833069457262,425.0,30.0,5.375780650886762,0.022172866580816863,0.0743271757466683,11.944377761959132,0.23795526517064575,0.0,-4.356813436001057
Fe,280.0,12.364432242492652,425.0,30.0,5.160618504567177,0.021285411925687024,0.07328128673316853,12.041517313162176,0.22834823067162022,0.0,-4.339073651517105
Fe,285.0,12.44905711707751,425.0,30.0,4.95969731167979,0.020456695299681138,0.07228555254890814,12.136937489694793,0.21937737953412906,0.0,-4.321827068685677
Fe,290.0,12.532700280829372,425.0,30.0,4.771725733189898,0.019681390464623482,0.07133630982452377,12.230698100496761,0.21098448004346512,0.0,-4.305047369762882
Fe,295.0,12.615358997201211,425.0,30.0,4.595560926007674,0.01895478366654989,0.07043025753432881,12.322855887076004,0.20311806892432716,0.0,-4.288710424374149
Fe,300.0,12.697034333234573,425.0,30.0,4.430187912926937,0.018272688545257692,0.06956441185009943,12.413464729747618,0.19573250309159804,0.0,-4.272794044055296
Fe,305.0,12.777730445362263,425.0,30.0,4.274702296874398,0.01763137483774986,0.06873606773118855,12.50257583682592,0.18878716596740366,0.0,-4.257277770746564
Fe,310.0,12.857453992617465,425.0,30.0,4.1282957030939205,0.017027508333280247,0.06794276608941416,12.590237918432951,0.18224579976181926,0.0,-4.242142693742576
Fe,315.0,12.936213653113592,425.0,30.0,3.9902434596285974,0.01645810006044937,0.06718226559345818,12.676497346400367,0.17607594105931598,0.0,-4.227371290623721
Fe,320.0,13.014019724571616,425.0,30.0,3.859894124355717,0.015920463090565384,0.06645251835376025,12.761398301579085,0.17024844154820568,0.0,-4.212947288481545
Fe,325.0,13.090883793564311,425.0,30.0,3.7366605433946214,0.01541217565728331,0.06575164886926715,12.844982909728083,0.1647370593096779,0.0,-4.1988555424000165
Fe,330.0,13.166818461155444,425.0,30.0,3.6200121857499457,0.014931049540186219,0.06507793572861029,12.927291367028793,0.1595181088578554,0.0,-4.185081928668736
Fe,335.0,13.241837114994981,425.0,30.0,3.5094685465538467,0.01447510285589419,0.06442979564753568,13.008362056161179,0.15457016033037274,0.0,-4.1716132506251205
Fe,340.0,13.31595373981013,425.0,30.0,3.404593449026384,0.014042536556013077,0.06380576949617164,13.088231653780651,0.14987377997729545,0.0,-4.158437155363658
Fe,345.0,13.389182759722429,425.0,30.0,3.3049901054616253,0.013631714055749722,0.06320451002775075,13.166935230149027,0.1454113054899004,0.0,-4.145542059828268
Fe,350.0,13.461538907060957,425.0,30.0,3.2102968219378902,0.013241143517622407,0.06262477106831743,13.244506341597068,0.14116665087794883,0.0,-4.132917085047413
Fe,355.0,13.533037113179589,425.0,30.0,3.120183250790371,0.012869462394463991,0.06206539796384246,13.32097711642869,0.1371251363925927,0.0,-4.120551997423594
Fe,360.0,13.603692417778898,425.0,30.0,3.0343471113517886,0.012515423903836562,0.06152531911606895,13.396378334817275,0.1332733399417177,0.0,-4.10843715621426
Fe,365.0,13.673519893618499,425.0,30.0,2.9525113119056288,0.012177885157281703,0.06100353846111325,13.470739503191364,0.12959896680873928,0.0,-4.096563466396928
Fe,370.0,13.742534584197857,425.0,30.0,2.874421416901561,0.011855796713634065,0.060499128769182106,13.544088923559588,0.12609073515545322,0.0,-4.0849223362777565
Fe,375.0,13.810751452317966,425.0,30.0,2.7998434120754014,0.011548193361067738,0.06001122566064723,13.616453758182507,0.12273827511374365,0.0,-4.073505639269301
Fe,380.0,13.878185337802085,425.0,30.0,2.7285617274394482,0.011254185962750969,0.059539022249154715,13.687860089961152,0.11953203962902731,0.0,-4.062305679348275
Fe,385.0,13.94485092293364,425.0,30.0,2.660377484140137,0.010972954225860775,0.05908176433509284,13.75833297887824,0.11646322549444585,0.0,-4.051315159769546
Fe,390.0,14.010762704402536,425.0,30.0,2.5951069362098536,0.010703740274455177,0.05863874608340763,13.827896514797741,0.11352370324693119,0.0,-4.04052715466863
Fe,395.0,14.075934970743704,425.0,30.0,2.5325800824471263,0.010445842924054448,0.058209306128765764,13.896573866901088,0.11070595478979658,0.0,-4.029935083232592
Fe,400.0,14.140381784415462,425.0,30.0,2.472639427198291,0.010198612570379224,0.05779282405874922,13.964387330013977,0.1080030177723565,0.0,-4.019532686161268
Fe,405.0,14.204116967793722,425.0,30.0,2.415138871777481,0.009961446616917528,0.05738871723218686,14.031358368055468,0.10540843588914851,0.0,-4.009314004173853
Fe,410.0,14.267154092461656,425.0,30.0,2.3599427207573913,0.009733785376286145,0.05699643789513446,14.097507654821312,0.10291621436892254,0.0,-3.999273358342461
Fe,415.0,14.329506471314716,425.0,30.0,2.3069247895975313,0.009515108389567092,0.056615470562486676,14.162855112295365,0.10052078006729745,0.0,-3.9894053320788085
Fe,420.0,14.391187152993055,425.0,30.0,2.2559676016975962,0.009304931114485658,0.05624532963592854,14.227419946666725,0.09821694557591434,0.0,-3.9797047545885693
Fe,425.0,14.45220891830739,425.0,30.0,2.206961664702171,0.009102801940467324,0.05588555723379364,14.291220682215544,0.09599987691758481,0.0,-3.9701666856617166
Fe,430.0,14.512584278327296,425.0,30.0,2.15980481708737,0.008908299493578532,0.055535721210597744,14.354275193217052,0.09386506440606725,0.0,-3.960786401663417
Fe,435.0,14.572325473865755,425.0,30.0,2.1144016372316705,0.008721030199188854,0.055195413346901236,14.416600734001312,0.09180829631835352,0.0,-3.951559382611606
Fe,440.0,14.63144447613082,425.0,30.0,2.070662908140428,0.008540626074181516,0.0548642476923733,14.47821396729515,0.0898256350691143,0.0,-3.942481300239054
Fe,445.0,14.68995298834922,425.0,30.0,2.0285051318329277,0.008366742724001305,0.05454185904690021,14.53913099096273,0.08791339561558628,0.0,-3.93354800694898
