purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.064,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1173.48,1049.87,1142.66,1358.32
0.065,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1178.13,1052.27,1146.44,1360.62
0.066,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1182.78,1054.68,1150.22,1362.93
0.067,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1187.43,1057.08,1154.0,1365.24
0.068,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1192.08,1059.48,1157.77,1367.54
0.069,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1196.73,1061.88,1161.55,1369.85
0.07,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1201.38,1064.28,1165.33,1372.16
0.071,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1206.03,1066.68,1169.1,1374.46
0.072,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1210.67,1069.08,1172.88,1376.77
0.073,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1215.32,1071.48,1176.65,1379.08
0.074,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1219.96,1073.88,1180.42,1381.39
0.075,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1224.6,1076.27,1184.2,1383.69
0.076,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1229.24,1078.67,1187.97,1386.0
0.077,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1233.88,1081.07,1191.74,1388.31
0.078,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1238.52,1083.46,1195.51,1390.62
0.079,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1243.16,1085.86,1199.27,1392.92
0.08,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1247.8,1088.25,1203.04,1395.23
0.081,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1252.44,1090.65,1206.81,1397.54
0.082,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1257.07,1093.04,1210.58,1399.85
0.083,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1261.71,1095.43,1214.34,1402.15
0.084,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1266.34,1097.83,1218.11,1404.46
0.085,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1270.97,1100.22,1221.87,1406.77
0.086,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1275.6,1102.61,1225.63,1409.08
0.087,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1280.23,1105.0,1229.4,1411.38
0.088,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1284.86,1107.39,1233.16,1413.69
0.089,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1289.49,1109.78,1236.92,1416.0
0.09,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1294.12,1112.17,1240.68,1418.3
0.091,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1298.75,1114.56,1244.44,1420.61
0.092,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1303.38,1116.95,1248.2,1422.92
