case,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
Fe,415.0,19.51186412844108,450.0,30.0,0.796265998693021,0.003284267141545086,0.042997355418581906,0.14415339927872234,14.162855112295365,0.12647153855497498,0.0,5.032102455751893
Fe,420.0,19.585609490781774,450.0,30.0,0.7779827864553647,0.003208856470622819,0.042776018035550735,0.14407559426050226,14.227419946666725,0.12343033831715083,0.0,5.044698737031223
Fe,425.0,19.658608747511085,450.0,30.0,0.7604126053753857,0.00313638675762906,0.04256094752336644,0.14403015853614468,14.291220682215544,0.12050870357256359,0.0,5.057151868905838
Fe,430.0,19.730874205583355,450.0,30.0,0.743517280813683,0.0030667005480021032,0.04235187626372465,0.1440159545435727,14.354275193217052,0.11770014425244817,0.0,5.069464336758556
Fe,435.0,20.199007267985753,450.0,30.0,0.7272612328425394,0.002999651089290266,0.042148552045417426,0.1440319286528318,14.416600734001312,0.11499861872870144,0.0,5.478227783468199
Fe,440.0,20.271392590159742,450.0,30.0,0.7116112623177488,0.002935101448786862,0.04195073694173539,0.14407710452266248,14.47821396729515,0.11239849624366065,0.0,5.491817183707743
Fe,445.0,20.343061244910363,450.0,30.0,0.6965363577047745,0.002872923716768186,0.04175820628722652,0.14415057711581614,14.53913099096273,0.10989452307246697,0.0,5.505254023755353
Fe,450.0,20.414025527638586,450.0,30.0,0.6820075203089875,0.002812998285640703,0.0415707477430152,0.14425150729310687,14.599367363252169,0.10748179192377745,0.0,5.518541119140875
Fe,455.0,20.484297564777425,450.0,30.0,0.667997605918047,0.0027552131967815167,0.041388160441957283,0.1443791169256872,14.658938126647191,0.10515571425983537,0.0,5.531681233305972
Fe,460.0,20.553889304623265,450.0,30.0,0.6544811810817653,0.0026994635477523886,0.041210254205566475,0.1445326844684751,14.717857830415387,0.10291199520731933,0.0,5.544677076778762
Fe,465.0,20.622812510106662,450.0,30.0,0.6414343924776467,0.002645650953486749,0.041036848825662796,0.14471154094575694,14.7761405519375,0.10074661078273728,0.0,5.557531306661519
Fe,470.0,20.691078753235235,450.0,30.0,0.6288348479944786,0.0025936830558088053,0.04086777340447,0.1449150663057487,14.833799916896112,0.09865578718814001,0.0,5.570246526384957
Fe,475.0,20.758699410976487,450.0,30.0,0.6166615083276397,0.002543473076309128,0.04070286574758742,0.14514268610607878,14.890849118396044,0.096635981961828,0.0,5.582825285688638
Fe,480.0,20.825685662380014,450.0,30.0,0.6048945880196411,0.0024949394081779114,0.040541971804867974,0.14539386849662828,14.947300935083636,0.09468386679382707,0.0,5.595270080792878
Fe,485.0,20.892048486765216,450.0,30.0,0.5935154650013915,0.0024480052431001876,0.04038494515476902,0.14566812147004993,15.00316774832717,0.0927963118379248,0.0,5.607583354732202
Fe,490.0,20.95779866282321,450.0,30.0,0.5825065977960362,0.002402598229755994,0.0402316465282104,0.14596499035367572,15.058461558516175,0.09097037137105753,0.0,5.619767497824334
Fe,495.0,21.022946768502145,450.0,30.0,0.5718514496404886,0.002358650160853141,0.04008194336839005,0.1462840555195018,15.113194000533339,0.08920327066763967,0.0,5.631824848252423
Fe,500.0,21.087503181561885,450.0,30.0,0.561534418861276,0.0023160966859564432,0.039935709423370706,0.1466249302915199,15.167376358448866,0.08749239397097669,0.0,5.643757692741197
Fe,505.0,21.15147808069913,450.0,30.0,0.551540774913145,0.002274877047673482,0.03979282436857619,0.14698725903195936,15.221019579483757,0.08583527345683106,0.0,5.655568267310329
Fe,510.0,21.214881447156685,450.0,30.0,0.5418565995517652,0.0022349338390163943,0.039653173456619256,0.1473707153899651,15.274134287285202,0.08422957909540035,0.0,5.667258758090483
Fe,515.0,21.277723066742375,450.0,30.0,0.5324687326677964,0.0021962127799898556,0.03951664719214149,0.1477750006980719,15.326730794554368,0.08267310932802185,0.0,5.678831302189783
Fe,520.0,21.340012532191448,450.0,30.0,0.5233647223581807,0.0021586625116558613,0.03938314102956443,0.14819984250327184,15.378819115064102,0.08116378248322839,0.0,5.690287988599625
Fe,525.0,21.40175924581939,450.0,30.0,0.5145327788553613,0.0021222344061108517,0.03925255509187263,0.14864499322114344,15.43040897510162,0.07969962886690084,0.0,5.701630859131744
Fe,530.0,21.462972422412324,450.0,30.0,0.505961731971415,0.0020868823909603973,0.03912479390869694,0.1491102289022827,15.481509824368839,0.07827878346400138,0.0,5.7128619093775415
