Purge,1 wt% Re / 200 C,5 wt% Re / 200 C,1 wt% Re / 250 C,5 wt% Re / 250 C
33.2,2401.25,1683.19,2140.08,1972.91
33.3,2405.79,1685.53,2143.77,1975.19
33.4,2410.33,1687.87,2147.46,1977.46
33.5,2414.87,1690.22,2151.15,1979.74
33.6,2419.42,1692.56,2154.84,1982.02
33.7,2423.96,1694.9,2158.53,1984.3
33.8,2428.5,1697.24,2162.22,1986.58
33.9,2433.04,1699.58,2165.91,1988.86
34,2437.59,1701.92,2169.6,1991.14
34.1,2442.13,1704.26,2173.29,1993.42
34.2,2446.67,1706.6,2176.97,1995.69
34.3,2451.21,1708.94,2180.66,1997.97
34.4,2455.75,1711.28,2184.35,2000.25
34.5,2460.29,1713.62,2188.04,2002.53
34.6,2464.83,1715.96,2191.73,2004.81
34.7,2469.38,1718.3,2195.42,2007.09
34.8,2473.92,1720.64,2199.11,2009.36
34.9,2478.46,1722.98,2202.79,2011.64
35,2483,1725.32,2206.48,2013.92
35.1,2487.54,1727.66,2210.17,2016.2
35.2,2492.08,1730,2213.86,2018.48
35.3,2496.62,1732.34,2217.54,2020.75
35.4,2501.16,1734.68,2221.23,2023.03
35.5,2505.7,1737.02,2224.92,2025.31
35.6,2510.23,1739.36,2228.6,2027.59
35.7,2514.77,1741.7,2232.29,2029.86
35.8,2519.31,1744.04,2235.98,2032.14
35.9,2523.85,1746.38,2239.66,2034.42
36,2528.39,1748.72,2243.35,2036.69
36.1,2532.93,1751.06,2247.04,2038.97
36.2,2537.47,1753.4,2250.72,2041.25
36.3,2542.01,1755.73,2254.41,2043.53
36.4,2546.54,1758.07,2258.1,2045.8
36.5,2551.08,1760.41,2261.78,2048.08
36.6,2555.62,1762.75,2265.47,2050.36
36.7,2560.16,1765.09,2269.15,2052.63
36.8,2564.69,1767.43,2272.84,2054.91
36.9,2569.23,1769.76,2276.52,2057.19
37,2573.77,1772.1,2280.21,2059.46
37.1,2578.31,1774.44,2283.89,2061.74
37.2,2582.84,1776.78,2287.58,2064.01
37.3,2587.38,1779.12,2291.26,2066.29
37.4,2591.92,1781.45,2294.95,2068.57
37.5,2596.45,1783.79,2298.63,2070.84
37.6,2600.99,1786.13,2302.32,2073.12
37.7,2605.52,1788.47,2306,2075.4
37.8,2610.06,1790.81,2309.69,2077.67
37.9,2614.6,1793.14,2313.37,2079.95
38,2619.13,1795.48,2317.05,2082.22
38.1,2623.67,1797.82,2320.74,2084.5
38.2,2628.2,1800.15,2324.42,2086.77
38.3,2632.74,1802.49,2328.1,2089.05
38.4,2637.27,1804.83,2331.79,2091.32
38.5,2641.81,1807.16,2335.47,2093.6
38.6,2646.34,1809.5,2339.15,2095.88
38.7,2650.88,1811.84,2342.84,2098.15
38.8,2655.41,1814.18,2346.52,2100.43
38.9,2659.95,1816.51,2350.2,2102.7
39,2664.48,1818.85,2353.89,2104.98
39.1,2669.01,1821.18,2357.57,2107.25
39.2,2673.55,1823.52,2361.25,2109.53
39.3,2678.08,1825.86,2364.93,2111.8
39.4,2682.62,1828.19,2368.62,2114.08
39.5,2687.15,1830.53,2372.3,2116.35
39.6,2691.68,1832.87,2375.98,2118.63
39.7,2696.22,1835.2,2379.66,2120.9
39.8,2700.75,1837.54,2383.34,2123.17
39.9,2705.28,1839.87,2387.02,2125.45
40,2709.82,1842.21,2390.71,2127.72
