failure_mode,class,description,model,tier,variant,budget_CU,n_runs,n_failed,fraction
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,2000,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,all,35,29,0.8285714285714286
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,200,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,250,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,300,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,500,5,2,0.4
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,800,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,1200,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,anonymous,2000,5,2,0.4
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,all,35,24,0.6857142857142857
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,200,5,5,1.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,250,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,300,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,500,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,800,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,1200,5,2,0.4
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-nano-2026-03-17,weak,named,2000,5,2,0.4
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,all,35,20,0.5714285714285714
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,200,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,250,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,300,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,500,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,800,5,1,0.2
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,1200,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,anonymous,2000,5,2,0.4
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,all,35,13,0.37142857142857144
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,200,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,250,5,4,0.8
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,300,5,3,0.6
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,500,5,1,0.2
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,800,5,1,0.2
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,1200,5,1,0.2
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.4-mini-2026-03-17,medium,named,2000,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,all,35,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,200,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,250,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,300,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,500,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,800,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,1200,5,0,0.0
