model,policy,variant,budget_CU,n,P_winner_correct,P_pair_correct,P_reachability_correct,P_full_decision_correct,n_break_even_reported,mean_break_even_rel_error,median_break_even_rel_error,n_break_even_exact,mean_spent_CU,mean_CU_to_first_correct,n_first_correct,mean_CU_to_stable_correct,n_stable_correct,mean_unnecessary_CU_fraction,mean_regret_USD_t,mean_stopping_efficiency,mean_action_errors,mean_steps,mean_tokens
gpt-5.4-mini-2026-03-17,E_llm_agent,named,200,5,0.8,0.8,0.4,0.4,2,9.887116682761115e-16,9.887116682761115e-16,2,188.0,162.25,4,162.25,4,0.08787878787878788,200.0,0.8744042083236456,2.8,8.8,34930.8
gpt-5.4-mini-2026-03-17,E_llm_agent,named,250,5,0.6,0.4,0.2,0.2,1,9.887116682761115e-16,9.887116682761115e-16,1,225.0,174.0,3,174.0,3,0.3276707614670973,400.0,0.8171979535615899,3.2,10.4,33961.6
gpt-5.4-mini-2026-03-17,E_llm_agent,named,300,5,1.0,0.8,0.4,0.4,2,9.887116682761115e-16,9.887116682761115e-16,2,275.0,172.2,5,172.2,5,0.3467765541184673,0.0,0.6329729941235895,2.0,11.2,47489.6
gpt-5.4-mini-2026-03-17,E_llm_agent,named,500,5,1.0,1.0,0.8,0.8,4,9.887116682761115e-16,9.887116682761115e-16,4,237.4,160.6,5,160.6,5,0.18373633041391887,0.0,0.6922169831059424,1.6,11.4,81079.4
gpt-5.4-mini-2026-03-17,E_llm_agent,named,800,5,1.0,1.0,0.8,0.8,4,9.887116682761115e-16,9.887116682761115e-16,4,312.8,166.4,5,166.4,5,0.3050527834155028,0.0,0.6197208821553009,2.0,14.4,123459.2
gpt-5.4-mini-2026-03-17,E_llm_agent,named,1200,5,1.0,1.0,0.8,0.8,5,9.887116682761115e-16,9.887116682761115e-16,5,327.4,189.8,5,189.8,5,0.34604432237226584,0.0,0.6334755623015988,1.0,13.8,59103.8
gpt-5.4-mini-2026-03-17,E_llm_agent,named,2000,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,309.6,175.2,5,175.2,5,0.30087415358440134,0.0,0.6093359386115004,1.8,13.4,69245.6
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,200,5,0.2,0.0,0.0,0.0,0,,,0,184.0,184.0,1,184.0,1,0.283695652173913,800.0,1.0,2.6,8.2,24584.2
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,250,5,0.8,0.2,0.0,0.0,0,,,0,242.0,227.5,4,227.5,4,0.33553719008264465,1.3477780222379736,0.9400826446280992,3.4,12.0,52766.8
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,300,5,0.8,0.6,0.0,0.0,0,,,0,228.4,205.75,4,205.75,4,0.3740840220385675,200.0,0.7225826446280992,3.0,12.2,43470.6
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,500,5,1.0,1.0,0.6,0.6,3,9.887116682761115e-16,9.887116682761115e-16,3,419.8,224.6,5,224.6,5,0.5466914838228604,0.0,0.5366347459895902,2.2,19.4,72448.0
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,800,5,1.0,1.0,0.0,0.0,0,,,0,482.4,300.0,5,300.0,5,0.5997182973547917,0.0,0.6521669030930084,1.8,21.6,69462.6
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,1200,5,1.0,1.0,0.0,0.0,0,,,0,378.4,242.0,5,242.0,5,0.5012627847806489,0.0,0.6386437253094207,0.4,18.4,64231.0
gpt-5.4-nano-2026-03-17,E_llm_agent,anonymous,2000,5,1.0,1.0,0.6,0.6,3,9.887116682761115e-16,9.887116682761115e-16,3,479.6,271.0,5,271.0,5,0.5779985543765738,0.0,0.5758163425437204,1.0,23.8,89799.0
gpt-5.4-nano-2026-03-17,E_llm_agent,named,200,5,1.0,0.0,0.0,0.0,0,,,0,186.8,157.8,5,157.8,5,0.18467281510759773,0.0,0.8468489240228371,3.2,8.6,24962.6
gpt-5.4-nano-2026-03-17,E_llm_agent,named,250,5,1.0,0.4,0.2,0.2,2,9.887116682761115e-16,9.887116682761115e-16,2,244.6,160.8,5,160.8,5,0.28507571717414504,0.0,0.6574145744890789,2.2,15.8,56473.8
gpt-5.4-nano-2026-03-17,E_llm_agent,named,300,5,1.0,0.6,0.2,0.2,1,9.887116682761115e-16,9.887116682761115e-16,1,274.0,151.8,5,151.8,5,0.3743685423712765,0.0,0.5605193419036446,1.2,14.2,57988.0
gpt-5.4-nano-2026-03-17,E_llm_agent,named,500,5,1.0,1.0,0.2,0.2,1,9.887116682761115e-16,9.887116682761115e-16,1,289.6,155.0,5,155.0,5,0.30868453272759494,0.0,0.5678189389911877,0.6,16.0,51079.2
gpt-5.4-nano-2026-03-17,E_llm_agent,named,800,5,1.0,1.0,0.4,0.4,2,9.887116682761115e-16,9.887116682761115e-16,2,284.0,160.8,5,160.8,5,0.2218285531989701,0.0,0.5897992167266721,0.6,15.0,60066.6
gpt-5.4-nano-2026-03-17,E_llm_agent,named,1200,5,1.0,1.0,0.6,0.6,3,9.887116682761115e-16,9.887116682761115e-16,3,363.6,155.0,5,155.0,5,0.41237537226326426,0.0,0.48792471734076487,0.6,20.8,75630.6
gpt-5.4-nano-2026-03-17,E_llm_agent,named,2000,5,1.0,1.0,0.6,0.6,3,9.887116682761115e-16,9.887116682761115e-16,3,240.8,155.0,5,155.0,5,0.2119781687994471,0.0,0.6489890314424476,0.8,15.2,65766.0
gpt-5.5-2026-04-23,E_llm_agent,anonymous,200,5,1.0,1.0,1.0,1.0,5,0.1874053215710049,9.887116682761115e-16,4,182.4,115.0,5,115.0,5,0.017604617604617605,0.0,0.6147323575895005,0.0,14.8,95871.4
gpt-5.5-2026-04-23,E_llm_agent,anonymous,250,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,218.0,166.6,5,166.6,5,0.13302752293577982,0.0,0.7642201834862385,0.0,13.6,65011.2
gpt-5.5-2026-04-23,E_llm_agent,anonymous,300,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,248.0,155.0,5,155.0,5,0.11813638230864028,0.0,0.631418595097905,0.0,15.6,64412.8
gpt-5.5-2026-04-23,E_llm_agent,anonymous,500,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,267.6,160.8,5,160.8,5,0.11234158579938329,0.0,0.6270519114459286,0.0,15.8,60521.6
gpt-5.5-2026-04-23,E_llm_agent,anonymous,800,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,496.0,363.8,5,363.8,5,0.39266732512782937,0.0,0.7174047096413249,0.0,22.8,57310.0
gpt-5.5-2026-04-23,E_llm_agent,anonymous,1200,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,699.2,363.8,5,363.8,5,0.28548587512379975,0.0,0.5509874959428716,0.0,24.0,67690.6
gpt-5.5-2026-04-23,E_llm_agent,anonymous,2000,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,791.4,363.8,5,363.8,5,0.28976857771289605,0.0,0.5602078798646941,0.0,24.4,75437.8
gpt-5.5-2026-04-23,E_llm_agent,named,200,5,1.0,1.0,1.0,1.0,5,0.13099924984886052,0.21833208303921503,2,163.8,72.6,5,72.6,5,0.0295788311049352,0.0,0.42090478828160194,0.0,20.4,140053.4
gpt-5.5-2026-04-23,E_llm_agent,named,250,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,218.0,155.0,5,155.0,5,0.13302752293577982,0.0,0.7110091743119266,0.0,14.0,63532.6
gpt-5.5-2026-04-23,E_llm_agent,named,300,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,248.0,155.0,5,155.0,5,0.11813638230864028,0.0,0.631418595097905,0.0,15.6,74635.8
gpt-5.5-2026-04-23,E_llm_agent,named,500,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,334.2,155.0,5,155.0,5,0.1483073751209937,0.0,0.4877593169977363,0.0,16.0,67438.4
gpt-5.5-2026-04-23,E_llm_agent,named,800,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,641.2,247.8,5,247.8,5,0.43122470394676515,0.0,0.4330554237919717,0.0,26.6,61548.2
gpt-5.5-2026-04-23,E_llm_agent,named,1200,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,690.2,247.8,5,247.8,5,0.4293779314557978,0.0,0.38195909255826666,0.0,26.2,70044.2
gpt-5.5-2026-04-23,E_llm_agent,named,2000,5,1.0,1.0,1.0,1.0,5,9.887116682761115e-16,9.887116682761115e-16,5,761.2,224.6,5,224.6,5,0.31929903977824103,0.0,0.3341385466546999,0.0,24.0,56037.6
