draw,E_N_Fe,E_N_Ru,E_N_Os,n_feasible,atomic_winner,raw_cost_winner,economic_winner,Fe_feasible,rho_raw,rho_censored,top1,top3_actionable
325,-1.1085961334776469,-1.1386009782226676,-1.1136475681428535,3,Ru,Fe,Fe,1,0.9357142857142854,0.684172319121686,0.0,1.0
326,-1.5614148464498798,-1.0565113633562884,-1.1375256081215332,4,Os,Ru,Ru,1,0.95,0.7700267375036974,0.0,0.6666666666666666
327,-1.2671654374019685,-0.9964342227742762,-1.1427937910098567,3,Os,Fe,Fe,1,0.9464285714285712,0.684172319121686,0.0,1.0
328,-1.2119763586076058,-1.1940074250677144,-1.241600860552245,3,Ru,Fe,Fe,1,0.982142857142857,0.6943838462727558,0.0,1.0
329,-1.4903386262774974,-1.057572032506417,-1.0087673454230344,3,Ru,Fe,Fe,1,0.9571428571428571,0.684172319121686,0.0,1.0
330,-1.7033021303129594,-1.1993367802609338,-1.2077889792443823,3,Ru,Ru,Ru,0,0.914285714285714,0.6994896098482908,1.0,1.0
331,-1.3372781175003723,-1.174009251064424,-1.0733606517053687,3,Ru,Fe,Fe,1,0.9178571428571428,0.684172319121686,0.0,1.0
332,-1.394276936452444,-1.1552977862021414,-1.0765184911973227,4,Ru,Fe,Fe,1,0.9678571428571429,0.7654432450185562,0.0,1.0
333,-1.2501076239075977,-1.0860530719201047,-1.213503328470586,4,Os,Fe,Fe,1,0.9464285714285712,0.7608597525334153,0.0,1.0
334,-1.3391235312516168,-1.1108715335808987,-1.1513709852380243,3,Os,Fe,Fe,1,0.907142857142857,0.679066555546151,0.0,1.0
335,-1.1022525634852107,-1.16892147904923,-1.0865780856568885,3,Ru,Fe,Fe,1,0.9428571428571427,0.6943838462727558,0.0,1.0
336,-1.5471226092129864,-1.1866114912397965,-1.0786156262593227,4,Ru,Ru,Ru,1,0.9857142857142854,0.7746102299888384,1.0,0.6666666666666666
337,-1.3342703721815432,-1.2513032638420065,-1.0316803164811241,3,Ru,Fe,Fe,1,0.9214285714285713,0.684172319121686,0.0,1.0
338,-1.792696531147664,-1.0310101679950243,-1.013115077494904,2,Ru,Ru,Ru,0,0.8785714285714284,0.5916079783099615,1.0,0.6666666666666666
339,-1.1849663053961328,-1.074167347354744,-1.100535026517167,4,Fe,Fe,Fe,1,0.9749999999999999,0.7746102299888384,1.0,1.0
340,-1.5068688806428714,-1.2610999471239648,-1.0053522906255865,4,Ru,Fe,Fe,1,0.95,0.7654432450185562,0.0,1.0
341,-1.5418677201673385,-1.0333579302018834,-1.0413728627906629,3,Os,Ru,Ru,1,0.914285714285714,0.6611963830317786,0.0,0.6666666666666666
342,-1.3979722139371955,-1.0040081947842925,-1.1125729179454136,3,Os,Fe,Fe,1,0.8857142857142855,0.679066555546151,0.0,1.0
343,-1.753999986387766,-1.114073783871534,-1.132014231059226,2,Os,Ru,Ru,0,0.9249999999999998,0.5855711622047578,0.0,0.6666666666666666
344,-1.3685207592703004,-1.2172839452608317,-1.1438401081590754,3,Os,Fe,Fe,1,0.9249999999999998,0.679066555546151,0.0,1.0
345,-1.0096156130033964,-1.02252675922538,-1.005071714156827,3,Ru,Fe,Fe,1,0.95,0.6943838462727558,0.0,1.0
346,-1.139095977285732,-1.127699245441262,-1.230322354673895,3,Fe,Fe,Fe,1,0.9285714285714284,0.6994896098482908,1.0,1.0
347,-1.4661476146099495,-1.0296473632326686,-1.1894831077533239,3,Os,Fe,Fe,1,0.9428571428571427,0.679066555546151,0.0,1.0
348,-1.3551149567918979,-1.2045009480424507,-1.1559675102133846,4,Os,Fe,Fe,1,0.9607142857142855,0.7608597525334153,0.0,1.0
349,-1.0530147643435628,-1.236761974450651,-1.2027487550418103,3,Os,Fe,Fe,1,0.9535714285714283,0.679066555546151,0.0,1.0
350,-1.565149973583096,-1.134802926895984,-1.1732884355791544,3,Os,Ru,Ru,1,0.9249999999999998,0.6943838462727558,0.0,1.0
351,-1.2603400992963494,-1.2383924367508883,-1.2418272330106404,3,Ru,Fe,Fe,1,0.9214285714285713,0.684172319121686,0.0,1.0
352,-1.0653069412791822,-1.1385436100122737,-1.099895092765743,4,Ru,Fe,Fe,1,0.9535714285714283,0.7654432450185562,0.0,1.0
353,-1.116312325819297,-1.100059568581792,-1.1283709368393535,4,Os,Fe,Fe,1,0.9428571428571427,0.7654432450185562,0.0,1.0
354,-1.406813474353081,-1.0456463562421956,-1.0591955484575313,4,Os,Fe,Fe,1,0.9607142857142855,0.7608597525334153,0.0,1.0
355,-1.6712065276528252,-1.1824783807796202,-1.0411811571548752,2,Ru,Ru,Ru,0,0.9571428571428571,0.5916079783099615,1.0,0.6666666666666666
356,-1.5592205176459308,-1.2722351989572602,-1.2157006323976354,3,Os,Ru,Ru,1,0.9428571428571427,0.6943838462727558,0.0,1.0
357,-1.522013147149161,-1.118080530713303,-1.0498863113235304,3,Ru,Ru,Ru,1,0.9678571428571429,0.6943838462727558,1.0,1.0
