E_N_eV,gain_673K,Ru_min_feasible_cost
-0.055,2.6559222547347532e-09,
-0.05,2.3496513487229668e-09,
-0.045,2.078237458154155e-09,
-0.04,1.8377671602279593e-09,
-0.035,1.6247602254058057e-09,
-0.03,1.436122364631096e-09,
-0.025,1.269103052771848e-09,
-0.02,1.1212578915605788e-09,
-0.015,9.904150311248488e-10,
-0.01,8.746452193135568e-10,
-0.005,7.722350930043025e-10,
-0.0,6.816633659394508e-10,
0.005,6.015796038512205e-10,
0.01,5.307853101161394e-10,
0.015,4.682170743055947e-10,
0.02,4.1293156211243256e-10,
0.025,3.6409214853848936e-10,
0.03,3.2095701720211447e-10,
0.035,2.828685674151617e-10,
0.04,2.4924398750947426e-10,
0.045,2.1956686796411447e-10,
0.05,1.9337974137760349e-10,
0.055,1.702774484062321e-10,
0.06,1.4990123959644997e-10,
0.065,1.319335327075908e-10,
0.07,1.160932537685509e-10,
0.075,1.0213169784468055e-10,
0.08,8.982885240396508e-11,
0.085,7.899013235017228e-11,
0.09,6.944348131158754e-11,
0.095,6.103679870609054e-11,
0.1,5.363565650840633e-11,
0.105,4.712127357877901e-11,
0.11,4.1388718923623444e-11,
0.115,3.634531839261662e-11,
0.12,3.190924211292137e-11,
0.125,2.8008252455683606e-11,
0.13,2.45785945545874e-11,
0.135,2.156401337981272e-11,
0.14,1.8914883138897054e-11,
0.145,1.6587436351790073e-11,
0.15,1.4543081351367952e-11,
0.155,1.2747798211294156e-11,
0.16,1.1171604216832585e-11,
0.165,9.788080985805526e-12,
0.17,8.573956229494228e-12,
0.175,7.50873392871709e-12,
0.18,6.5743673990850305e-12,
0.185,5.7549703409692495e-12,
0.19,5.036561522395614e-12,
0.195,4.406839234425909e-12,
0.2,3.854982095295199e-12,
